Time;Speed;Position X;Position Y;Acceleration X;Acceleration Y;
0.0500258840621;0.0;-900.086914062;194.760879517;0.0;0.0;
0.0999855101109;0.0;-900.086914062;194.760879517;0.0;0.0;
0.149954780936;0.365717709064;-900.082519531;194.760879517;2.03509306908;-5.40254723091e-06;
0.199947237968;0.632637500763;-900.07434082;194.760879517;1.48275673389;-3.27852603732e-06;
0.249948427081;0.88312369585;-900.062561035;194.760879517;1.39123785496;-1.8392382799e-06;
0.299952924252;1.13369619846;-900.047363281;194.760879517;1.39226675034;1.01841749256e-06;
0.349955022335;1.38782954216;-900.028686523;194.760879517;1.41216850281;1.91516719497e-05;
0.399957120419;1.64634227753;-900.006591797;194.760879517;1.43616485596;3.28142705257e-05;
0.448958992958;1.90938282013;-899.980773926;194.760879517;1.46135079861;6.80948433001e-05;
0.498961389065;2.1151509285;-899.951782227;194.760879517;0.799537658691;0.00165434193332;
0.548964381218;2.25860977173;-899.921020508;194.760879517;-13.1346578598;0.10835378617;
0.598966479301;2.40874767303;-899.888122559;194.760879517;-0.000104346217995;1.39824769576e-05;
0.648947775364;2.56208109856;-899.853149414;194.760879517;-0.00011830724543;2.00481190404e-05;
0.698971569538;2.71824789047;-899.815979004;194.760879517;0.870785117149;0.0040443954058;
0.748973369598;2.87759590149;-899.776550293;194.760879517;0.880969285965;0.00428311619908;
0.798976063728;3.03898859024;-899.734924316;194.760848999;0.896606981754;0.00469481013715;
0.848990499973;3.20324134827;-899.690979004;194.760787964;0.912426173687;0.0050098458305;
0.898980557919;3.37042379379;-899.644775391;194.760696411;0.928500533104;0.00519864074886;
0.948983252048;3.54047107697;-899.596191406;194.760559082;0.944862723351;0.00591114209965;
0.998985350132;3.71354150772;-899.545227051;194.760391235;0.961395800114;0.00507282884791;
1.04898893833;3.88927769661;-899.491760254;194.760162354;0.976178467274;0.00496873632073;
1.09899008274;4.06755399704;-899.435913086;194.759857178;0.990050196648;0.0040655368939;
1.14900672436;4.24756574631;-899.377502441;194.759475708;0.99990850687;0.00315541215241;
1.19900965691;4.4280834198;-899.316650391;194.759002686;1.00302231312;0.00346418400295;
1.24901413918;4.60916996002;-899.253295898;194.758407593;1.00581264496;0.000414721551351;
1.29904580116;4.79080533981;-899.18737793;194.757675171;1.00858318806;-0.00146423780825;
1.34901630878;4.97283792496;-899.11895752;194.756774902;1.01140141487;-0.0015391058987;
1.39901864529;5.15547990799;-899.047912598;194.755691528;1.01368105412;-0.00634366786107;
1.44900691509;5.33837890625;-898.97442627;194.754379272;1.01626074314;-0.00669825822115;
1.49900960922;5.52164745331;-898.8984375;194.752822876;1.01840281487;-0.00988229364157;
1.54901194572;5.70538139343;-898.819824219;194.750991821;1.02001368999;-0.01667733863;
1.59902787209;5.88939523697;-898.738708496;194.748825073;1.02171289921;-0.0209699813277;
1.64899623394;6.07368755341;-898.655029297;194.746307373;1.02318787575;-0.0256913602352;
1.69901883602;6.25816965103;-898.568786621;194.743362427;1.02499175072;-0.0267321076244;
1.74902188778;6.44280052185;-898.480041504;194.739974976;-8.31479549408;0.595227539539;
1.79903745651;6.6277961731;-898.388671875;194.736099243;1.02666854858;-0.0423866212368;
1.84903872013;6.81287527084;-898.294799805;194.731658936;1.02721691132;-0.0487709790468;
1.89903330803;6.9980225563;-898.198364258;194.726608276;1.02754223347;-0.0555365942419;
1.94903051853;7.18316459656;-898.09942627;194.720901489;1.02864575386;-0.0569763593376;
1.9990298748;7.36834812164;-897.997924805;194.714492798;1.02757060528;-0.0701343491673;
2.04903531075;7.55350589752;-897.893920898;194.707275391;1.02730858326;-0.0779199451208;
2.09905481339;7.73864412308;-897.787353516;194.699234009;1.02689194679;-0.0859923064709;
2.14903759956;7.92365837097;-897.678283691;194.6902771;1.02635073662;-0.094323463738;
2.19905734062;8.1085767746;-897.566711426;194.680358887;1.02571332455;-0.102874606848;
2.24904513359;8.29299926758;-897.452758789;194.669387817;1.02477049828;-0.104150243104;
2.29909586906;8.47682380676;-897.336242676;194.657318115;1.01926016808;-0.116989530623;
2.34907460213;8.65987968445;-897.217346191;194.644088745;1.01723074913;-0.11767654866;
2.39905261993;8.84230995178;-897.096069336;194.629608154;1.01165485382;-0.134216755629;
2.44905424118;9.02414131165;-896.972290039;194.613815308;1.00801694393;-0.142836987972;
2.49905443192;9.20524120331;-896.846313477;194.596679688;1.0066421032;-0.142915517092;
2.54906868935;9.38589954376;-896.717834473;194.578079224;1.00129067898;-0.159868463874;
2.59907102585;9.56595611572;-896.587158203;194.557983398;0.998285651207;-0.168191611767;
2.64904737473;9.74552726746;-896.454162598;194.536315918;0.995570659637;-0.176315516233;
2.69906830788;9.9246263504;-896.318969727;194.513046265;0.995555281639;-0.175173461437;
2.74906849861;10.1035013199;-896.18145752;194.488098145;0.994832336903;-0.191780924797;
2.79908657074;10.2829246521;-896.041809082;194.461395264;0.998515188694;-0.1990634799;
2.84908771515;10.4630088806;-895.899963379;194.432922363;1.00245642662;-0.196660995483;
2.89907693863;10.643945694;-895.75592041;194.402603149;1.00719082355;-0.21251757443;
2.9490942955;10.8257865906;-895.609680176;194.370391846;1.01222932339;-0.218577101827;
2.99909567833;11.0086145401;-895.461303711;194.336242676;1.01776206493;-0.224113211036;
3.04909896851;11.1925649643;-895.31072998;194.300109863;1.02380025387;-0.229065462947;
3.09908676147;11.3777008057;-895.15802002;194.261962891;1.03072810173;-0.232904985547;
3.14908885956;11.5639286041;-895.003173828;194.221786499;-9.50618267059;0.718441009521;
