Time;Speed;Position X;Position Y;Acceleration X;Speed X;Speed Y;Collision State;Road Identifier;Brake Force;Lane Number;Cartesian Distance;Current Task;Channel;
0.0500990711153;0.31872305274;1615.93188477;-1.74999082088;1.63657438755;0.0885341838002;9.57074444159e-05;0.0;64.0;0.0;3.0;385.966552734;0.0;0.0;
0.100092127919;0.59349322319;1615.9395752;-1.74999141693;1.37794482708;0.164859220386;9.78580792435e-05;0.0;64.0;0.0;3.0;385.955993652;0.0;0.0;
0.150086686015;0.822693765163;1615.9510498;-1.74999117851;4.74444103241;0.228526040912;9.41064427025e-05;0.0;64.0;0.0;3.0;385.944580078;0.0;0.0;
0.200096011162;1.02291107178;1615.9654541;-1.74998998642;10.9785051346;0.28414195776;2.20217461901e-05;0.0;64.0;0.0;3.0;385.924987793;0.0;0.0;
0.250108361244;1.19803631306;1615.9822998;-1.74998939037;11.0986833572;0.332787871361;3.57570047527e-06;0.0;64.0;0.0;3.0;385.898834229;0.0;0.0;
0.300106227398;1.35522317886;1616.00109863;-1.74998879433;11.2044019699;0.376450866461;-3.22541091009e-05;0.0;64.0;0.0;3.0;385.879699707;0.0;0.0;
0.350096255541;1.50116753578;1616.02148438;-1.74998903275;11.3967475891;0.416990965605;-9.52348182182e-06;0.0;64.0;0.0;3.0;385.859039307;0.0;0.0;
0.400097161531;1.63605713844;1616.04321289;-1.74998879433;11.1384305954;0.454460322857;-2.71802873613e-05;0.0;64.0;0.0;3.0;385.837127686;0.0;0.0;
0.450108289719;1.76258647442;1616.06616211;-1.74998879433;11.0508813858;0.489607363939;-2.0236502678e-05;0.0;64.0;0.0;3.0;385.814483643;0.0;0.0;
0.500114023685;1.88555729389;1616.09082031;-1.74998891354;11.0365772247;0.523765921593;-9.32090279093e-06;0.0;64.0;0.0;3.0;385.789978027;0.0;0.0;
0.550111889839;2.00692176819;1616.11706543;-1.74998903275;10.9915342331;0.557478249073;-4.42379678134e-06;0.0;64.0;0.0;3.0;385.763641357;0.0;0.0;
0.600115180016;2.12701272964;1616.14538574;-1.74998939037;11.0009403229;0.590836882591;1.17322015285e-05;0.0;64.0;0.0;3.0;385.735473633;0.0;0.0;
0.650124490261;2.24617505074;1616.17541504;-1.74998927116;11.0630702972;0.623937487602;7.95131654741e-06;0.0;64.0;0.0;3.0;385.705383301;0.0;0.0;
0.700121164322;2.36431884766;1616.20727539;-1.74998915195;11.0556612015;0.656755268574;-7.50474839606e-07;0.0;64.0;0.0;3.0;385.673431396;0.0;0.0;
0.750129580498;2.48119544983;1616.24072266;-1.74998903275;11.0475912094;0.689220964909;-5.45108287042e-06;0.0;64.0;0.0;3.0;385.639892578;0.0;0.0;
0.800113618374;2.59671020508;1616.27587891;-1.74998903275;11.0581064224;0.721308410168;2.31614399127e-06;0.0;64.0;0.0;3.0;385.604797363;0.0;0.0;
0.850123822689;2.71062111855;1616.31274414;-1.74998915195;11.0521669388;0.752950310707;-8.73013414093e-06;0.0;64.0;0.0;3.0;385.568023682;0.0;0.0;
0.90012472868;2.82286906242;1616.35107422;-1.74998891354;11.0618638992;0.784130275249;-9.66594325291e-06;0.0;64.0;0.0;3.0;385.529724121;0.0;0.0;
0.950130403042;2.93304038048;1616.39086914;-1.74998939037;11.0516738892;0.814733445644;7.36926767786e-06;0.0;64.0;0.0;3.0;385.489837646;0.0;0.0;
1.00014305115;3.04115605354;1616.43225098;-1.74998950958;11.0399312973;0.844765543938;-6.76120362186e-06;0.0;64.0;0.0;3.0;385.448425293;0.0;0.0;
1.05014038086;3.14677524567;1616.47509766;-1.74998903275;11.0444421768;0.874104201794;-1.00283177744e-05;0.0;64.0;0.0;3.0;385.405609131;0.0;0.0;
1.10013997555;3.24951267242;1616.51928711;-1.74998915195;11.0303030014;0.902642428875;9.37920162869e-07;0.0;64.0;0.0;3.0;385.36138916;0.0;0.0;
1.15014064312;3.34924292564;1616.56494141;-1.74998927116;11.0312709808;0.930345237255;2.10294347198e-05;0.0;64.0;0.0;3.0;385.315765381;0.0;0.0;
1.20011711121;3.44575428963;1616.61193848;-1.74999070168;10.9509325027;0.957153975964;4.02483638027e-05;0.0;64.0;0.0;3.0;385.268737793;0.0;0.0;
1.25015568733;3.53897047043;1616.66027832;-1.74999034405;10.9781475067;0.983047366142;2.37217500398e-06;0.0;64.0;0.0;3.0;385.220550537;0.0;0.0;
1.30015325546;3.62883615494;1616.70996094;-1.74999022484;10.9961643219;1.00801002979;-1.32777677209e-05;0.0;64.0;0.0;3.0;385.17086792;0.0;0.0;
1.35014593601;3.71604514122;1616.76074219;-1.74998986721;11.0262365341;1.03223478794;-1.21945304272e-05;0.0;64.0;0.0;3.0;385.1199646;0.0;0.0;
1.40017426014;3.80117177963;1616.81286621;-1.74998950958;11.0244264603;1.05588102341;-2.10384814636e-06;0.0;64.0;0.0;3.0;385.067962646;0.0;0.0;
1.45016646385;3.8850235939;1616.86608887;-1.749989748;11.0070085526;1.07917320728;2.25457412739e-07;0.0;64.0;0.0;3.0;385.014648438;0.0;0.0;
1.50016915798;3.96813130379;1616.92041016;-1.749989748;11.0440216064;1.10225868225;3.5871619275e-06;0.0;64.0;0.0;3.0;384.960357666;0.0;0.0;
1.55016696453;4.0507516861;1616.97595215;-1.74998962879;11.0617713928;1.12520885468;-3.3314220218e-06;0.0;64.0;0.0;3.0;384.904876709;0.0;0.0;
1.60012817383;4.13341093063;1617.03259277;-1.74998962879;11.0476760864;1.14816975594;-6.92038702255e-06;0.0;64.0;0.0;3.0;384.848175049;0.0;0.0;
