Time,Speed,Position X,Position Y,Acceleration X,Speed X,Speed Y,Collision State,Road Identifier,Brake Force,Lane Number,Trip Meter
2.35008955,6.076807022,8.902228355,-1.750030041,-7.778848171,1.68800199,-1.79E-06,0,0,0,3,2.260789394
2.400112152,6.194350243,8.987627983,-1.750030756,-7.135903358,1.720652819,-1.81E-06,0,0,0,3,2.346197605
2.450114965,6.316469193,9.074668884,-1.750031829,-3.327406883,1.754574776,1.25E-06,0,0,0,3,2.433247089
2.500097752,6.437059402,9.16337204,-1.750032067,-2.943419933,1.78807199,2.53E-06,0,0,0,3,2.521959066
2.550102472,6.559354305,9.253760338,-1.750032187,-2.524783611,1.822042823,4.12E-06,0,0,0,3,2.612356663
2.600080013,6.683307648,9.34585762,-1.750032306,-2.054046154,1.85647428,5.47E-06,0,0,0,3,2.704462767
2.650105715,6.808997631,9.439686775,-1.750032425,-1.474452376,1.891388178,6.59E-06,0,0,0,3,2.798300505
2.700111866,6.936320782,9.535268784,-1.750032544,-0.757117927,1.926755786,7.18E-06,0,0,0,3,2.893891573
2.750092745,7.065309525,9.632624626,-1.750032663,0.200311854,1.962585926,7.40E-06,0,0,0,3,2.991255999
2.800094366,7.195270538,9.731772423,-1.750032663,0.725852132,1.998686314,7.33E-06,0,0,0,3,3.09041357
2.850113869,7.326078415,9.832732201,-1.750032663,0.730441034,2.035021782,5.84E-06,0,0,0,3,3.19138217
2.900106907,7.45823431,9.935521126,-1.750032425,0.729816198,2.071731806,-6.39E-06,0,0,0,3,3.294180393
2.950136662,7.591685772,10.04015636,-1.750032187,0.745091677,2.108801603,-1.62E-05,0,0,0,3,3.398823977
3.000111103,7.726472378,10.14665413,-1.750032067,0.74687916,2.14624238,-1.74E-05,0,0,0,3,3.505330563
3.050126791,7.862518311,10.25503349,-1.750032067,0.759545267,2.184032917,-1.20E-05,0,0,0,3,3.613718271
3.100126266,7.999889851,10.36531353,-1.750032067,0.764979422,2.222191572,-3.31E-06,0,0,0,3,3.724006653
3.150128365,8.138504982,10.47751427,-1.750032067,0.773874581,2.260695934,5.67E-06,0,0,0,3,3.836215258
3.200120211,8.278409004,10.59165478,-1.750032067,0.780339956,2.299558163,1.24E-05,0,0,0,3,3.950363874
3.250133038,8.419473648,10.70775318,-1.750031948,0.787236989,2.338742733,1.61E-05,0,0,0,3,4.066469669
3.300135374,8.561710358,10.82582474,-1.750031829,0.793117046,2.378252983,1.64E-05,0,0,0,3,4.184549809
3.350156546,8.705057144,10.94588661,-1.75003159,0.799592614,2.418071508,1.46E-05,0,0,0,3,4.304619312
3.400159597,8.849500656,11.06795311,-1.750031352,0.805408418,2.458194733,1.14E-05,0,0,0,3,4.426693439
3.450161934,8.995042801,11.19203854,-1.750030994,0.811890423,2.498622894,8.42E-06,0,0,0,3,4.550786495
3.500164509,9.14162159,11.31815815,-1.750030637,0.817564428,2.539339304,6.06E-06,0,0,0,3,4.676913738
3.550150633,9.289299965,11.44632626,-1.750030279,0.82344389,2.580361128,4.86E-06,0,0,0,3,4.805089951
3.600152731,9.437990189,11.57655907,-1.750029922,0.829298317,2.621664047,4.79E-06,0,0,0,3,4.935329437
3.650146246,9.587759972,11.70886993,-1.750029445,0.834814548,2.663266659,5.40E-06,0,0,0,3,5.067647934
3.700145006,9.738594055,11.84327602,-1.750029087,0.841204643,2.705164909,6.41E-06,0,0,0,3,5.202060223
3.750138044,9.890458107,11.97979069,-1.75002861,0.846818566,2.747349501,7.30E-06,0,0,0,3,5.338582039
3.800163031,10.04341412,12.11843014,-1.750028133,0.852400661,2.78983736,7.83E-06,0,0,0,3,5.477227688
3.850144625,10.19742966,12.25920868,-1.750027537,0.859111965,2.832619429,7.91E-06,0,0,0,3,5.618012905
3.900165319,10.35252285,12.40214252,-1.750026941,0.864650369,2.875700712,7.45E-06,0,0,0,3,5.760952473
3.950184107,10.50873089,12.54724598,-1.750026345,0.870576501,2.91909194,6.69E-06,0,0,0,3,5.906062126
4.000170231,10.66604137,12.69453526,-1.750025749,0.87754631,2.962789297,5.69E-06,0,0,0,3,6.053356647
4.050188541,10.82458782,12.84402466,-1.750025034,0.884914756,3.006829977,4.74E-06,0,0,0,3,6.202851772
4.100193501,10.98455334,12.99573231,-1.750024319,0.892905176,3.051264763,3.97E-06,0,0,0,3,6.35456419
4.150176048,11.14599514,13.14967442,-1.750023603,0.901399851,3.096109867,3.51E-06,0,0,0,3,6.50851059
4.200171471,11.30889702,13.3058672,-1.750022888,0.909204125,3.141360283,3.36E-06,0,0,0,3,6.664707661
4.250216961,11.47323608,13.46432781,-1.750022173,0.917151988,3.18701005,3.45E-06,0,0,0,3,6.823172092
4.300177574,11.63898468,13.62507248,-1.750021338,0.924658537,3.2330513,3.62E-06,0,0,0,3,6.983920097
4.350224495,11.80610847,13.78811836,-1.750020504,0.932722986,3.279474497,3.85E-06,0,0,0,3,7.146969318
4.400223255,11.97459888,13.95348358,-1.750019789,0.940125644,3.326277494,3.85E-06,0,0,0,3,7.312337399
4.450191498,12.14445114,14.12118626,-1.750018835,0.947605669,3.373458624,3.68E-06,0,0,0,3,7.480042458
4.500183582,12.31566238,14.29124355,-1.750018001,0.95502305,3.421017408,3.34E-06,0,0,0,3,7.650102615
4.550196648,12.48823643,14.4636755,-1.750017166,0.962636828,3.468954563,2.89E-06,0,0,0,3,7.822535992
4.60018158,12.66216946,14.63849926,-1.750016212,0.970372558,3.517269373,2.33E-06,0,0,0,3,7.997361183
4.650201797,12.83748627,14.81573391,-1.750015259,0.978035152,3.565968275,1.66E-06,0,0,0,3,8.174596787
4.700212955,13.0141983,14.99539661,-1.750014424,0.985684335,3.615055084,9.17E-07,0,0,0,3,8.354260445
4.750188828,13.1923275,15.17750645,-1.750013471,0.993565857,3.664535522,1.95E-07,0,0,0,3,8.536371231
4.800189018,13.37189674,15.36208248,-1.750012517,1.001389384,3.714415789,-6.32E-07,0,0,0,3,8.720947266
