Time;Fast Lane;
0.0500005856156;5.0;
0.18120379746;5.0;
0.199997827411;5.0;
0.250005036592;5.0;
0.300044476986;5.0;
0.35002759099;5.0;
0.400037229061;5.0;
0.450039923191;5.0;
0.500020027161;5.0;
0.550025105476;5.0;
0.600061237812;5.0;
0.650029599667;5.0;
0.700031399727;5.0;
0.750014841557;5.0;
0.800016641617;5.0;
0.850023210049;5.0;
0.900026261806;5.0;
0.950023531914;5.0;
1.00002527237;5.0;
1.05004632473;5.0;
1.10003459454;5.0;
1.15003669262;5.0;
1.20003759861;5.0;
1.25004029274;5.0;
1.30005657673;5.0;
1.35005807877;5.0;
1.40004658699;5.0;
1.45004892349;5.0;
1.50006580353;5.0;
1.55006670952;5.0;
1.60006964207;5.0;
1.65005731583;5.0;
1.70005917549;5.0;
1.75006270409;5.0;
1.80006361008;5.0;
1.85008108616;5.0;
1.90008282661;5.0;
1.95006716251;5.0;
2.00008559227;5.0;
2.05007433891;5.0;
2.10007071495;5.0;
2.15007305145;5.0;
2.20009350777;5.0;
2.25007820129;5.0;
2.30008459091;5.0;
2.35010051727;5.0;
2.40008354187;5.0;
2.45009016991;5.0;
2.50010728836;5.0;
2.55010890961;5.0;
2.60009741783;5.0;
2.65010404587;5.0;
2.70010137558;5.0;
2.7501168251;5.0;
2.80014920235;5.0;
2.85013985634;5.0;
2.90010690689;5.0;
2.95012712479;5.0;
3.00012850761;5.0;
3.05011582375;5.0;
3.10011315346;5.0;
3.15011501312;5.0;
3.20011758804;5.0;
3.25010919571;5.0;
3.30012226105;5.0;
3.35011339188;5.0;
3.40013027191;5.0;
3.45014691353;5.0;
3.50014829636;5.0;
3.55015039444;5.0;
3.6001393795;5.0;
3.65015459061;5.0;
3.70014286041;5.0;
3.75015807152;5.0;
3.80016088486;5.0;
3.8501496315;5.0;
3.90014600754;5.0;
3.95014858246;5.0;
4.00017404556;5.0;
4.05017232895;5.0;
4.10016012192;5.0;
4.15017604828;5.0;
4.20016002655;5.0;
4.25017976761;5.0;
4.30018234253;5.0;
4.35018396378;5.0;
4.40018558502;5.0;
4.45017433167;5.0;
4.50018167496;5.0;
4.55019426346;5.0;
4.60018062592;5.0;
4.65018892288;5.0;
4.70019960403;5.0;
4.75018882751;5.0;
4.8002038002;5.0;
4.85019826889;5.0;
4.90019416809;5.0;
4.95019578934;5.0;
5.00019216537;5.0;
5.05020427704;5.0;
5.10020065308;5.0;
5.15020847321;5.0;
5.20020627975;5.0;
5.25021219254;5.0;
5.30021476746;5.0;
5.35019540787;5.0;
