Time;Speed;Position X;Position Y;Acceleration X;Speed X;Speed Y;Collision State;Road Identifier;Brake Force;Lane Number;Cartesian Distance;Cartesian Distance;
0.0500051043928;0.0;1615.92907715;-1.75;0.0;0.0;0.0;0.0;64.0;0.0;3.0;6.4844493866;6.4844493866;
0.10001321882;0.318705558777;1615.93188477;-1.74999034405;1.62892591953;0.0885293260217;8.82877211552e-05;0.0;64.0;0.0;3.0;6.48445034027;6.48445034027;
0.150006577373;0.593475520611;1615.9395752;-1.74999070168;1.37601876259;0.164854317904;6.91843524692e-05;0.0;64.0;0.0;3.0;6.48445034027;6.48445034027;
0.200006872416;0.816087722778;1615.9510498;-1.74999046326;-2.40989732742;0.226691037416;5.48177195014e-05;0.0;64.0;0.0;3.0;6.48445034027;6.48445034027;
0.250038474798;1.00481653214;1615.9654541;-1.74999058247;-8.98048877716;0.279115706682;5.48950774828e-05;0.0;64.0;0.0;3.0;6.48445034027;6.48445034027;
0.300004720688;1.17970609665;1615.9822998;-1.74998986721;-9.23732185364;0.327696144581;2.50009525189e-05;0.0;64.0;0.0;3.0;6.48445034027;6.48445034027;
0.35003092885;1.33651208878;1616.00109863;-1.74998962879;-9.5246257782;0.371253341436;1.34464025905e-05;0.0;64.0;0.0;3.0;6.48445034027;6.48445034027;
0.400015830994;1.48197472095;1616.02148438;-1.74998927116;-9.88013935089;0.411659657955;-7.9311985246e-06;0.0;64.0;0.0;3.0;6.48445034027;6.48445034027;
0.450028181076;1.61732339859;1616.04321289;-1.74998867512;-9.69236850739;0.449256509542;-3.66848471458e-05;0.0;64.0;0.0;3.0;6.48445034027;6.48445034027;
0.500034809113;1.74397182465;1616.06616211;-1.74998867512;-9.67857551575;0.484436631203;-2.73919504252e-05;0.0;64.0;0.0;3.0;6.48445034027;6.48445034027;
0.550033271313;1.86698377132;1616.09082031;-1.74998867512;-9.69114208221;0.518606603146;-2.01201673917e-05;0.0;64.0;0.0;3.0;6.48445034027;6.48445034027;
0.600039899349;1.98847436905;1616.11706543;-1.74998903275;-9.60535621643;0.552353978157;-7.52068262955e-06;0.0;64.0;0.0;3.0;6.48445034027;6.48445034027;
0.650035619736;2.10855579376;1616.14538574;-1.74998927116;-9.67030143738;0.585709929466;9.32589227887e-06;0.0;64.0;0.0;3.0;6.48445034027;6.48445034027;
0.70003169775;2.22757101059;1616.17541504;-1.74998915195;-9.7408914566;0.618769705296;-4.43761518909e-06;0.0;64.0;0.0;3.0;6.48445034027;6.48445034027;
0.750047981739;2.34579706192;1616.20727539;-1.74998867512;-9.75887203217;0.651610314846;-7.61959654483e-06;0.0;64.0;0.0;3.0;6.48445034027;6.48445034027;
0.800040721893;2.46275663376;1616.24072266;-1.74998915195;-9.79465866089;0.684099078178;6.07301672062e-06;0.0;64.0;0.0;3.0;6.48445034027;6.48445034027;
0.850044906139;2.57823038101;1616.27600098;-1.74998879433;-9.7722196579;0.716175079346;-1.1983337572e-05;0.0;64.0;0.0;3.0;6.48445034027;6.48445034027;
0.900041878223;2.69217228889;1616.31274414;-1.74998903275;-9.8128490448;0.747825622559;6.68838356432e-06;0.0;64.0;0.0;3.0;6.48445034027;6.48445034027;
0.950045764446;2.80444860458;1616.35107422;-1.74998867512;-9.83934879303;0.779013514519;3.0179578971e-05;0.0;64.0;0.0;3.0;6.48445034027;6.48445034027;
1.00005364418;2.91470766068;1616.39086914;-1.74998891354;-9.82379627228;0.809641003609;7.04660669726e-06;0.0;64.0;0.0;3.0;6.48445034027;6.48445034027;
1.05006170273;3.02291488647;1616.43225098;-1.74998867512;-9.77522945404;0.839698553085;-2.48039305006e-05;0.0;64.0;0.0;3.0;6.48445034027;6.48445034027;
1.10006558895;3.12851977348;1616.47509766;-1.74998903275;-9.8692483902;0.869033277035;-4.29254851042e-06;0.0;64.0;0.0;3.0;6.48445034027;6.48445034027;
1.15005207062;3.23140406609;1616.51940918;-1.74998891354;-9.89325523376;0.897612214088;9.84085636446e-06;0.0;64.0;0.0;3.0;6.48445034027;6.48445034027;
1.20005202293;3.33128356934;1616.56506348;-1.74998891354;-9.86019134521;0.925356566906;1.70842358784e-05;0.0;64.0;0.0;3.0;6.48445034027;6.48445034027;
1.25007307529;3.42774391174;1616.61206055;-1.74998891354;-10.016579628;0.952151119709;-8.7057633209e-06;0.0;64.0;0.0;3.0;6.48445034027;6.48445034027;
1.3000664711;3.52118778229;1616.66040039;-1.74998867512;-9.9099407196;0.978107690811;5.40449036635e-06;0.0;64.0;0.0;3.0;6.48445034027;6.48445034027;
1.350081563;3.61117219925;1616.71008301;-1.74998891354;-10.0304737091;1.00310337543;8.54324753163e-06;0.0;64.0;0.0;3.0;6.48445034027;6.48445034027;
1.40007972717;3.69883060455;1616.76086426;-1.74998879433;-10.0678882599;1.02745294571;-9.91101842374e-06;0.0;64.0;0.0;3.0;6.48445034027;6.48445034027;
1.45008563995;3.78486466408;1616.81298828;-1.74998891354;-10.0439748764;1.05135130882;-2.71827266261e-05;0.0;64.0;0.0;3.0;6.48445034027;6.48445034027;
1.50007605553;3.86973404884;1616.86621094;-1.74998903275;-10.0907859802;1.07492613792;3.25347514263e-06;0.0;64.0;0.0;3.0;6.48445034027;6.48445034027;
1.5500702858;3.95400047302;1616.9206543;-1.74998915195;-10.1116819382;1.09833347797;-1.1672889741e-05;0.0;64.0;0.0;3.0;6.48445034027;6.48445034027;
1.60008108616;4.03814983368;1616.97631836;-1.74998927116;-10.1306934357;1.12170827389;8.67072049004e-06;0.0;64.0;0.0;3.0;6.48445034027;6.48445034027;
