Time;Speed;Position X;Position Y;Acceleration X;Speed X;Speed Y;Collision State;Road Identifier;Brake Force;Lane Number;Disappear Radius (Behind);
0.049994263798;0.318747729063;1615.93188477;-1.74999070168;1.63244557381;0.0885410383344;0.000122463970911;0.0;64.0;0.0;3.0;250.0;
0.100011713803;0.593478381634;1615.9395752;-1.74999117851;1.3773317337;0.164855107665;8.18348562461e-05;0.0;64.0;0.0;3.0;250.0;
0.149995431304;0.822608411312;1615.9510498;-1.74999070168;4.77580165863;0.228502333164;8.59665015014e-05;0.0;64.0;0.0;3.0;250.0;
0.200002342463;1.0228331089;1615.9654541;-1.74999046326;10.9778394699;0.284120321274;6.08613554505e-05;0.0;64.0;0.0;3.0;250.0;
0.250005960464;1.19801867008;1615.9822998;-1.74998962879;11.0787334442;0.332782953978;1.20607064673e-05;0.0;64.0;0.0;3.0;250.0;
0.300003230572;1.35519611835;1616.00109863;-1.74998927116;11.2016534805;0.376443356276;4.78148922411e-06;0.0;64.0;0.0;3.0;250.0;
0.35001796484;1.50117707253;1616.02148438;-1.7499884367;11.4161787033;0.416993618011;-4.81388669868e-05;0.0;64.0;0.0;3.0;250.0;
0.400009810925;1.63605082035;1616.04321289;-1.74998867512;11.1591901779;0.45445856452;-2.30068762903e-05;0.0;64.0;0.0;3.0;250.0;
0.45000436902;1.76259934902;1616.06616211;-1.74998867512;11.063700676;0.489610940218;-1.5493184037e-05;0.0;64.0;0.0;3.0;250.0;
0.500012814999;1.88556933403;1616.09082031;-1.74998903275;11.0332279205;0.523769259453;2.75481897916e-06;0.0;64.0;0.0;3.0;250.0;
0.550019741058;2.00687026978;1616.11706543;-1.74998891354;10.9688167572;0.557463943958;-1.33816229209e-05;0.0;64.0;0.0;3.0;250.0;
0.600030243397;2.12701129913;1616.14538574;-1.74998867512;11.002617836;0.590836465359;-2.29143115575e-05;0.0;64.0;0.0;3.0;250.0;
0.650026023388;2.24621725082;1616.17541504;-1.74998855591;11.073890686;0.623949229717;-1.90010778169e-05;0.0;64.0;0.0;3.0;250.0;
