Time;Speed;
0.0500029958785;0.0;
0.0999403372407;0.0;
0.149907797575;0.366138994694;
0.199909895658;0.633199155331;
0.249922826886;0.883293092251;
0.299915581942;1.13389718533;
0.349921286106;1.38812768459;
0.399918854237;1.64657521248;
0.449923068285;1.90968668461;
0.499928474426;2.11644268036;
0.54993057251;2.26110482216;
0.599931180477;2.41149616241;
0.649953424931;2.56522917747;
0.699933826923;2.72217226028;
0.749936521053;2.88103199005;
0.799957871437;3.04268455505;
0.849941015244;3.20723247528;
0.899942815304;3.37471866608;
0.949949741364;3.54510998726;
0.999949991703;3.71849775314;
1.04995214939;3.89449763298;
1.09995269775;4.07300901413;
1.14995598793;4.25330591202;
1.19995868206;4.43411254883;
1.24995958805;4.6154923439;
1.2999625206;4.79729223251;
1.34996557236;4.97961521149;
1.39996731281;5.1623916626;
1.44997060299;5.34559059143;
1.49997878075;5.52917480469;
1.54997456074;5.71312046051;
1.59997725487;5.89742422104;
1.649979949;6.08191919327;
1.6999822855;6.26661968231;
1.74999439716;6.45152139664;
1.79998624325;6.63673210144;
1.84998834133;6.82202911377;
1.9000108242;7.00744724274;
1.94999456406;7.19284534454;
1.99999606609;7.37841892242;
2.05001783371;7.56396150589;
2.10001993179;7.74941062927;
2.15000319481;7.9348859787;
2.20001006126;8.1201877594;
2.25000834465;8.30493354797;
