Time;Speed;Position X;Position Y;Acceleration X;Speed X;Speed Y;Collision State;Road Identifier;Brake Force;Lane Number;Cartesian Distance;Channel;Channel;
0.0499819144607;0.0;1615.92907715;-1.75;0.0;0.0;0.0;0.0;64.0;0.0;3.0;385.966552734;0.0;0.0;
0.0999888256192;0.318759411573;1615.93188477;-1.74999010563;1.6660541296;0.0885442793369;7.91953643784e-05;0.0;64.0;0.0;3.0;385.966552734;0.0;0.0;
0.149971336126;0.593495666981;1615.9395752;-1.7499910593;1.38533854485;0.164859905839;8.90099618118e-05;0.0;64.0;0.0;3.0;385.955993652;0.0;0.0;
0.200003549457;0.822471678257;1615.9510498;-1.74999094009;4.13535642624;0.228464350104;8.93411779543e-05;0.0;64.0;0.0;3.0;385.944580078;0.0;0.0;
0.249993294477;1.02289962769;1615.9654541;-1.74999010563;10.9777050018;0.284138798714;3.33819916705e-05;0.0;64.0;0.0;3.0;385.925811768;0.0;0.0;
0.300011366606;1.19801449776;1615.9822998;-1.74998986721;11.0883712769;0.332781821489;2.3912785764e-05;0.0;64.0;0.0;3.0;385.898773193;0.0;0.0;
0.349980026484;1.35518372059;1616.00109863;-1.74998950958;11.1967668533;0.376439929008;-5.21730089531e-06;0.0;64.0;0.0;3.0;385.879669189;0.0;0.0;
0.400016754866;1.50117695332;1616.02148438;-1.74998879433;11.4091758728;0.416993588209;-2.35672559938e-05;0.0;64.0;0.0;3.0;385.859008789;0.0;0.0;
0.450001358986;1.63605320454;1616.04321289;-1.74998867512;11.1322870255;0.454459220171;-3.0439645343e-05;0.0;64.0;0.0;3.0;385.837036133;0.0;0.0;
0.499979376793;1.76260602474;1616.06616211;-1.74998855591;11.0512065887;0.489612787962;-2.55054201261e-05;0.0;64.0;0.0;3.0;385.814422607;0.0;0.0;
0.549991428852;1.88558673859;1616.09082031;-1.74998879433;11.0329742432;0.523774087429;-8.26058385428e-06;0.0;64.0;0.0;3.0;385.78994751;0.0;0.0;
0.600030839443;2.00695753098;1616.11706543;-1.74998915195;10.9923620224;0.557488203049;1.56315877575e-06;0.0;64.0;0.0;3.0;385.763580322;0.0;0.0;
0.650025427341;2.12709856033;1616.14538574;-1.74998950958;10.9852247238;0.590860724449;2.85464229819e-05;0.0;64.0;0.0;3.0;385.735412598;0.0;0.0;
0.700034141541;2.24621391296;1616.17541504;-1.74998879433;11.0412778854;0.623948335648;-1.23811278172e-05;0.0;64.0;0.0;3.0;385.705322266;0.0;0.0;
0.750034093857;2.36437296867;1616.20727539;-1.74998891354;11.0901470184;0.656770288944;-7.36391803002e-06;0.0;64.0;0.0;3.0;385.673400879;0.0;0.0;
0.800026893616;2.48131084442;1616.24072266;-1.74998879433;11.0549793243;0.689253032207;1.8728970872e-06;0.0;64.0;0.0;3.0;385.639801025;0.0;0.0;
0.850022017956;2.59674215317;1616.27587891;-1.74998891354;11.0321140289;0.72131729126;5.35230947207e-06;0.0;64.0;0.0;3.0;385.604705811;0.0;0.0;
0.900055468082;2.71066832542;1616.31274414;-1.74998867512;11.0463123322;0.752963423729;5.8023983911e-06;0.0;64.0;0.0;3.0;385.567962646;0.0;0.0;
0.950044870377;2.82282829285;1616.35107422;-1.7499884367;11.0263547897;0.784118950367;7.18031196811e-06;0.0;64.0;0.0;3.0;385.529602051;0.0;0.0;
1.0000385046;2.93313789368;1616.39086914;-1.74998867512;11.0468673706;0.814760506153;-2.67405539489e-05;0.0;64.0;0.0;3.0;385.489776611;0.0;0.0;
1.05003166199;3.04108071327;1616.43225098;-1.74998879433;10.9820804596;0.844744622707;8.90271530807e-06;0.0;64.0;0.0;3.0;385.448394775;0.0;0.0;
1.10003733635;3.14678907394;1616.47509766;-1.74998891354;11.0396461487;0.874108076096;2.42619944402e-06;0.0;64.0;0.0;3.0;385.405670166;0.0;0.0;
1.15004575253;3.24950480461;1616.51928711;-1.74998879433;11.005408287;0.902640223503;1.41162827276e-05;0.0;64.0;0.0;3.0;385.361328125;0.0;0.0;
1.20004272461;3.34925889969;1616.56494141;-1.74998891354;10.9946804047;0.930349707603;-1.2309739077e-06;0.0;64.0;0.0;3.0;385.315734863;0.0;0.0;
1.25005829334;3.44578933716;1616.61206055;-1.74998903275;10.9200954437;0.957163691521;1.15011216621e-05;0.0;64.0;0.0;3.0;385.268707275;0.0;0.0;
1.30005085468;3.5390086174;1616.66040039;-1.74998867512;10.9778461456;0.983057916164;-1.431011151e-05;0.0;64.0;0.0;3.0;385.220428467;0.0;0.0;
1.35006344318;3.62889790535;1616.70996094;-1.74998831749;11.0308027267;1.00802719593;-1.69293853105e-05;0.0;64.0;0.0;3.0;385.170776367;0.0;0.0;
1.40004658699;3.71605372429;1616.76074219;-1.74998891354;11.0239009857;1.03223717213;1.68149599631e-05;0.0;64.0;0.0;3.0;385.119812012;0.0;0.0;
1.45004892349;3.80128335953;1616.81286621;-1.74998903275;11.0421285629;1.05591201782;-8.70102030603e-06;0.0;64.0;0.0;3.0;385.067840576;0.0;0.0;
1.50004804134;3.8850607872;1616.86608887;-1.74998915195;11.0184402466;1.07918357849;-9.09655136638e-06;0.0;64.0;0.0;3.0;385.01461792;0.0;0.0;
1.55005431175;3.96815657616;1616.92041016;-1.74998927116;11.0373516083;1.1022657156;-5.91342359257e-06;0.0;64.0;0.0;3.0;384.960296631;0.0;0.0;
1.60006523132;4.05078840256;1616.97595215;-1.74998950958;11.055847168;1.12521898746;-1.19327137327e-06;0.0;64.0;0.0;3.0;384.904724121;0.0;0.0;
