Time;Position X;Position Y;
0.0500174537301;-900.086914062;194.760879517;
0.0999626219273;-900.086914062;194.760879517;
0.149988517165;-900.082519531;194.760879517;
0.199970722198;-900.07434082;194.760879517;
0.249964684248;-900.062683105;194.760879517;
0.299966186285;-900.047485352;194.760879517;
0.349977910519;-900.028808594;194.760879517;
0.399986922741;-900.006591797;194.760879517;
0.449986308813;-899.980834961;194.760879517;
0.499985098839;-899.951904297;194.760879517;
0.550014317036;-899.921020508;194.760879517;
0.600008249283;-899.888122559;194.760879517;
0.649994075298;-899.853088379;194.760879517;
0.699996769428;-899.815795898;194.760879517;
0.750015735626;-899.776367188;194.760879517;
0.800017535686;-899.734680176;194.760848999;
0.849998831749;-899.690734863;194.760787964;
0.900003969669;-899.64440918;194.760681152;
0.950029850006;-899.595825195;194.760559082;
1.00000905991;-899.544799805;194.760391235;
1.05001139641;-899.491333008;194.760162354;
1.10003244877;-899.43536377;194.759857178;
1.15002286434;-899.376953125;194.759475708;
1.20000779629;-899.315979004;194.759002686;
1.25002074242;-899.252502441;194.758407593;
1.30003094673;-899.186584473;194.757659912;
1.350025177;-899.118041992;194.756759644;
1.40002787113;-899.04699707;194.75567627;
1.45006132126;-898.973449707;194.754364014;
1.50003242493;-898.897277832;194.752807617;
1.55005407333;-898.818603516;194.750961304;
1.60006761551;-898.737426758;194.748794556;
1.65003991127;-898.653625488;194.746276855;
1.70004498959;-898.567321777;194.743331909;
1.75007510185;-898.47845459;194.739929199;
1.80005252361;-898.387023926;194.736038208;
1.85004913807;-898.293029785;194.731582642;
1.90005421638;-898.196472168;194.726531982;
1.95007741451;-898.097412109;194.720809937;
2.00004696846;-897.995788574;194.714385986;
2.05006504059;-897.891662598;194.707168579;
2.10006117821;-897.784912109;194.69909668;
2.1500658989;-897.675842285;194.690124512;
2.20009684563;-897.564147949;194.68019104;
2.2500872612;-897.450012207;194.669204712;
2.3000895977;-897.333374023;194.657104492;
2.35010409355;-897.214294434;194.643844604;
2.40007543564;-897.092834473;194.629333496;
2.4500784874;-896.969055176;194.613525391;
2.5001013279;-896.842773438;194.596328735;
2.55008292198;-896.714233398;194.577697754;
2.60008573532;-896.583312988;194.557556152;
2.65011882782;-896.450195312;194.535858154;
2.70009016991;-896.314758301;194.512542725;
2.75009250641;-896.177124023;194.487533569;
2.80011582375;-896.03729248;194.460800171;
2.85009741783;-895.895202637;194.432250977;
2.90009951591;-895.750976562;194.401870728;
2.95009732246;-895.604553223;194.369598389;
3.00012326241;-895.455993652;194.335388184;
3.05010819435;-895.305236816;194.299194336;
3.10010933876;-895.152282715;194.260971069;
3.15011692047;-894.997253418;194.220703125;
3.20012831688;-894.840026855;194.178359985;
3.25012016296;-894.680725098;194.133911133;
3.30014777184;-894.519042969;194.087310791;
3.35012125969;-894.35534668;194.038574219;
3.40015435219;-894.18963623;193.98777771;
3.45013666153;-894.02154541;193.934783936;
3.50012850761;-893.851257324;193.879669189;
3.55016088486;-893.678710938;193.82244873;
3.6001329422;-893.50390625;193.763183594;
3.6501352787;-893.326782227;193.701858521;
3.70017147064;-893.147277832;193.638504028;
3.75017094612;-892.965454102;193.573226929;
3.80014252663;-892.781188965;193.50604248;
3.85016274452;-892.594482422;193.437042236;
3.90016841888;-892.405151367;193.366256714;
3.95014357567;-892.213378906;193.293807983;
4.00014925003;-892.018737793;193.219650269;
4.05015516281;-891.821594238;193.144042969;
4.10015678406;-891.621582031;193.066986084;
4.15015888214;-891.418823242;192.988616943;
4.20018005371;-891.213134766;192.909042358;
4.25018310547;-891.004516602;192.828414917;
4.3001666069;-890.79284668;192.746826172;
4.35016870499;-890.578125;192.664474487;
4.40017223358;-890.360229492;192.581451416;
4.45017051697;-890.139099121;192.497924805;
4.50017595291;-889.914672852;192.414093018;
4.55017852783;-889.686889648;192.330093384;
