Time;Speed;
0.0499737821519;0.0;
0.0999469608068;0.36627215147;
0.149950563908;0.632989048958;
0.199998736382;0.883409380913;
0.249959871173;1.13399457932;
0.299957454205;1.38816440105;
0.349964052439;1.64666819572;
0.399982124567;1.90964055061;
0.449963718653;2.1140127182;
0.499966710806;2.26028990746;
0.549969434738;2.41075181961;
0.599973618984;2.56498932838;
0.649974226952;2.72134923935;
0.699976623058;2.87975907326;
0.749979317188;3.04100799561;
0.799981415272;3.20510482788;
0.849985301495;3.37213730812;
0.900005161762;3.54202985764;
0.950008153915;3.71498084068;
0.999990940094;3.89052700996;
1.04999423027;4.06861543655;
1.09999728203;4.24840259552;
1.14999783039;4.42882204056;
1.2000002861;4.6097240448;
1.2500026226;4.79108762741;
1.30000531673;4.97302150726;
1.35000836849;5.15536022186;
1.40001010895;5.33807039261;
1.45001161098;5.52126407623;
1.50001525879;5.70470333099;
1.55001735687;5.88866043091;
1.60001969337;6.07264661789;
1.65002214909;6.25691080093;
1.70002508163;6.44141721725;
1.75004649162;6.62616825104;
1.80003082752;6.81094646454;
1.85003316402;6.99588441849;
1.90003883839;7.18082094193;
1.95004093647;7.36570549011;
2.00004029274;7.55065250397;
2.0500421524;7.73549079895;
2.10004472733;7.92025089264;
2.15004658699;8.1049118042;
2.20004940033;8.2891664505;
2.25005078316;8.47269916534;
2.30005431175;8.65553569794;
2.35007095337;8.83772468567;
2.40006303787;9.01922702789;
2.45006036758;9.20020484924;
2.50006365776;9.38055896759;
2.55006670952;9.56036758423;
2.60006737709;9.73965358734;
2.65006947517;9.91859817505;
2.70007157326;10.0972146988;
2.7500743866;10.2762804031;
2.80007719994;10.4561214447;
2.85007953644;10.6368284225;
2.90008616447;10.8183460236;
2.95008444786;11.0009326935;
3.00008654594;11.1845054626;
3.05009031296;11.3694009781;
3.10009098053;11.5553998947;
3.15009355545;11.7428541183;
3.20009613037;11.9316558838;
