Time;Speed;Position X;Position Y;Acceleration X;Speed X;Speed Y;Collision State;Road Identifier;Brake Force;Lane Number;Trip Meter;
97.2486572266;5.08445692062;6159.85546875;-10.2040929794;-8.08031272888;1.41234910488;0.0108603453264;0.0;29.0;0.0;6.0;1.02772819996;
97.2986679077;5.11337471008;6159.78759766;-10.2048587799;-8.05941104889;1.42038190365;0.0101970769465;0.0;29.0;0.0;6.0;1.09579586983;
97.3486633301;5.14160346985;6159.71923828;-10.2056503296;-8.03794670105;1.4282232523;0.00937586277723;0.0;29.0;0.0;6.0;1.16424691677;
97.3986434937;5.17383337021;6159.63867188;-10.2066059113;-8.0119228363;1.43717598915;0.00830284599215;0.0;29.0;0.0;6.0;1.24457991123;
97.4486694336;5.20085334778;6159.56933594;-10.2074489594;-7.98904371262;1.44468152523;0.00736230332404;0.0;29.0;0.0;6.0;1.31383347511;
97.4986877441;5.22735118866;6159.5;-10.2083129883;-7.96555089951;1.4520419836;0.006446772255;0.0;29.0;0.0;6.0;1.38344573975;
97.5486679077;5.25333976746;6159.4296875;-10.209195137;-7.94140434265;1.45926105976;0.00559316109866;0.0;29.0;0.0;6.0;1.45340907574;
97.5986404419;5.28307008743;6159.34765625;-10.2102451324;-7.9120388031;1.46751952171;0.0046664159745;0.0;29.0;0.0;6.0;1.53546786308;
97.6486816406;5.30811977386;6159.27734375;-10.2111616135;-7.88593769073;1.47447764874;0.00388527009636;0.0;29.0;0.0;6.0;1.60617005825;
97.6986846924;5.33278846741;6159.20605469;-10.2120895386;-7.85936927795;1.48133015633;0.0030669614207;0.0;29.0;0.0;6.0;1.67720448971;
97.7486877441;5.3571100235;6159.13476562;-10.2130308151;-7.83267593384;1.48808610439;0.00235562236048;0.0;29.0;0.0;6.0;1.74856674671;
97.7986755371;5.38505411148;6159.05126953;-10.214140892;-7.79894208908;1.49584841728;0.0017568001058;0.0;29.0;0.0;6.0;1.8322302103;
97.8486785889;5.40865659714;6158.97900391;-10.2151002884;-7.77090215683;1.50240457058;0.00105329148937;0.0;29.0;0.0;6.0;1.90428566933;
97.89868927;5.43188285828;6158.90673828;-10.2160663605;-7.74254703522;1.50885641575;0.000341714010574;0.0;29.0;0.0;6.0;1.9766535759;
97.9486923218;5.45475578308;6158.83398438;-10.2170381546;-7.71262121201;1.51520991325;-0.000317704078043;0.0;29.0;0.0;6.0;2.04932904243;
97.9986495972;5.48093128204;6158.74902344;-10.2181768417;-7.67604112625;1.52248096466;-0.000993194873445;0.0;29.0;0.0;6.0;2.1344974041;
98.0486907959;5.50295114517;6158.67529297;-10.2191553116;-7.64458751678;1.52859759331;-0.00150483706966;0.0;29.0;0.0;6.0;2.20781826973;
98.0987014771;5.52457523346;6158.60205078;-10.2201356888;-7.61211204529;1.53460419178;-0.0019276739331;0.0;29.0;0.0;6.0;2.28142809868;
98.1487121582;5.54585266113;6158.52783203;-10.2211151123;-7.57938480377;1.54051458836;-0.00224675517529;0.0;29.0;0.0;6.0;2.35532212257;
98.1986923218;5.57024335861;6158.44140625;-10.2222566605;-7.53993320465;1.54728984833;-0.00246668583713;0.0;29.0;0.0;6.0;2.44188594818;
98.2487106323;5.59083509445;6158.3671875;-10.223233223;-7.50553226471;1.55300974846;-0.00252360058948;0.0;29.0;0.0;6.0;2.51638245583;
98.2986984253;5.61112642288;6158.29199219;-10.2242078781;-7.47000455856;1.55864620209;-0.00252807070501;0.0;29.0;0.0;6.0;2.59115099907;
98.3487243652;5.63113451004;6158.21728516;-10.2251796722;-7.4338312149;1.56420397758;-0.00250646751374;0.0;29.0;0.0;6.0;2.66618776321;
98.3986740112;5.65416383743;6158.12939453;-10.2263116837;-7.38983249664;1.57060110569;-0.00246497499757;0.0;29.0;0.0;6.0;2.75406527519;
98.4487228394;5.67370271683;6158.05371094;-10.2272787094;-7.35051774979;1.57602858543;-0.00243730889633;0.0;29.0;0.0;6.0;2.82967233658;
98.4987335205;5.69314718246;6157.97802734;-10.2282428741;-7.30928850174;1.58142971992;-0.00241444585845;0.0;29.0;0.0;6.0;2.9055390358;
